file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,,need.change,new.genus,new.epithet,notes
rocky meadow #1 - 1998,"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",4/30/98,,,,,,,,,,rocky meadow #1 - 1998,"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",,yes
greenhouse plot #4 - 1998,"grass - second Poa species?  Big white anthers, not very reflexed, NE side",6/24/98,,,,,,,,,,greenhouse plot #4 - 1998,"grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side",,yes
rm41995,"grass - short tight heads, like an unexpanded Poa, small glumes",6/5/95,,,,,,,,,,rm41995,"grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes grass - short tight heads, like an unexpanded Poa, small glumes grass - short tight heads, like an unexpanded Poa, small glumes",,yes
rm31995,"grass - short tight heads, robust",6/5/95,,,,,,,,,,rm31995,"grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust grass - short tight heads, robust grass - short tight heads, robust",,yes
rm21994,"grass - short, tight heads",6/4/94,,,,,,,,,,rm21994,"grass - short, tight heads","grass - short, tight heads","grass - short, tight heads","grass - short, tight heads grass - short, tight heads grass - short, tight heads",,yes
rm61995,"grass - slightly spreading, reddish  like grass in plot #4, in NE corner",6/5/95,,,,,,,,,,rm61995,"grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner grass - slightly spreading, reddish  like grass in plot #4, in NE corner grass - slightly spreading, reddish  like grass in plot #4, in NE corner",,yes
rm41993,"grass - slightly spreading, yellow anthers, tall, NW corner",6/2/93,,,,,,,,,,rm41993,"grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner grass - slightly spreading, yellow anthers, tall, NW corner grass - slightly spreading, yellow anthers, tall, NW corner",,yes
rm41995,"grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes",6/5/95,,,,,,,,,,rm41995,"grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes",,yes
int41996,"grass - spike, long awns, 1/3 down leaf blade",5/10/96,,,,,,,,,,int41996,"grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade grass - spike, long awns, 1/3 down leaf blade grass - spike, long awns, 1/3 down leaf blade",,
rocky meadow #2 - 1998,"grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.",4/30/98,,,,,,,,,,rocky meadow #2 - 1998,"grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns. grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns. grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.",,yes
gp21994,"grass - tall bunch grass, E side",6/4/94,,,,,,,,,,gp21994,"grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side grass - tall bunch grass, E side grass - tall bunch grass, E side",,yes
int51994,"grass - tall bunch grass, N side (Poa?)",6/4/94,,,,,,,,,,int51994,"grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?) grass - tall bunch grass, N side (Poa?) grass - tall bunch grass, N side (Poa?)",,yes
wm41994,"grass - tall bunch grass, NE corner",6/4/94,,,,,,,,,,wm41994,"grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner grass - tall bunch grass, NE corner grass - tall bunch grass, NE corner",,yes
rocky meadow #8 - 2002,"grass - tight head, many small anthers, awns about 2 mm",4/7/02,,,,,,,,,,rocky meadow #8 - 2002,"grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm grass - tight head, many small anthers, awns about 2 mm grass - tight head, many small anthers, awns about 2 mm",,yes
wm21991,"grass - tight head, short anthers",5/30/91,,,,,,,,,,wm21991,"grass - tight head, short anthers","grass - tight head, short anthers","grass - tight head, short anthers","grass - tight head, short anthers grass - tight head, short anthers grass - tight head, short anthers",,
rm61995,"grass - tight head, smaller glumes than reddish grass; N side and middle",6/5/95,,,,,,,,,,rm61995,"grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle grass - tight head, smaller glumes than reddish grass; N side and middle grass - tight head, smaller glumes than reddish grass; N side and middle",,yes
greenhouse plot #3 - 1998,"grass - tight long spike with lots of small white anthers, medium awns",6/24/98,,,,,,,,,,greenhouse plot #3 - 1998,"grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns",,yes
willow-meadow interface #5 - 1999,"grass - tight long spike with lots of small white anthers, medium awns, middle f plot",5/21/99,,,,,,,,,,willow-meadow interface #5 - 1999,"grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot grass - tight long spike with lots of small white anthers, medium awns, middle f plot grass - tight long spike with lots of small white anthers, medium awns, middle f plot",,yes
willow-meadow interface #5 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, middle of plot",5/2/98,,,,,,,,,,willow-meadow interface #5 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot grass - tight long spike with lots of small white anthers, medium awns, middle of plot grass - tight long spike with lots of small white anthers, medium awns, middle of plot",,yes
wet meadow #2 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, N side",5/2/98,,,,,,,,,,wet meadow #2 - 1998,"grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side grass - tight long spike with lots of small white anthers, medium awns, N side grass - tight long spike with lots of small white anthers, medium awns, N side",,yes
rm61992,"grass - tight, elongated head",5/14/92,,,,,,,,,,rm61992,"grass - tight, elongated head","grass - tight, elongated head","grass - tight, elongated head","grass - tight, elongated head grass - tight, elongated head grass - tight, elongated head",,
Stream (Calder) plot #1 - 2005,grass - very short Poa?,5/5/05,,,,,,,,,,stream (calder) plot #1 - 2005,grass - very short Poa?,grass - very short Poa?,grass - very short Poa?,grass - very short Poa? grass - very short Poa? grass - very short Poa?,,yes
greenhouse plot #1 - 1998,"grass - W side, giant Poa??",5/2/98,,,,,,,,,,greenhouse plot #1 - 1998,"grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa?? grass - W side, giant Poa?? grass - W side, giant Poa??",,yes
greenhouse plot #1 - 1999,"grass - W site, giant Poa??",5/21/99,,,,,,,,,,greenhouse plot #1 - 1999,"grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa?? grass - W site, giant Poa?? grass - W site, giant Poa??",,yes
em11991,grass - wheat grass,5/30/91,,,,,,,,,,em11991,grass - wheat grass,grass - wheat grass,grass - wheat grass,grass - wheat grass grass - wheat grass grass - wheat grass,,
rm91992,grass - wheat grass? tall,5/14/92,,,,,,,,,,rm91992,grass - wheat grass? tall,grass - wheat grass? tall,grass - wheat grass? tall,grass - wheat grass? tall grass - wheat grass? tall grass - wheat grass? tall,,
rm61988,grass with long sheath  almost as long as inflorescence,5/2/88,,,,,,,,,,rm61988,grass with long sheath  almost as long as inflorescence,grass with long sheath  almost as long as inflorescence,grass with long sheath  almost as long as inflorescence,grass with long sheath  almost as long as inflorescence grass with long sheath  almost as long as inflorescence grass with long sheath  almost as long as inflorescence,,
wm21991,"grass, long awns",5/30/91,,,,,,,,,,wm21991,"grass,",long,awns,"grass, long awns",,
rocky meadow #2 - 1998,"grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers",4/30/98,,,,,,,,,,rocky meadow #2 - 1998,"grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers",,yes
rocky meadow plot #2 - 1997,"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",5/18/97,,,,,,,,,,rocky meadow plot #2 - 1997,"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",,yes
wm21993,"grass, long awns, tight spike",6/3/93,,,,,,,,,,wm21993,"grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike grass, long awns, tight spike grass, long awns, tight spike",,yes
wm21994,"grass, medium awns, tight spike  S end of plot",6/4/94,,,,,,,,,,wm21994,"grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot grass, medium awns, tight spike  S end of plot grass, medium awns, tight spike  S end of plot",,yes
willow-meadow interface #5 - 1997,"grass, middle of plot, tight heads, medium-length awns",5/18/97,,,,,,,,,,willow-meadow interface #5 - 1997,"grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns",,yes
willow-meadow interface #4 - 1997,"grass, middle of west side, bunchgrass, Poa-like but more robust",5/18/97,,,,,,,,,,willow-meadow interface #4 - 1997,"grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust",,yes
rocky meadow plot #6 - 1997,"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes",5/18/97,,,,,,,,,,rocky meadow plot #6 - 1997,"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes",,yes
rocky meadow plot #4 - 1997,"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",,yes
rocky meadow #4 - 1998,"grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??",4/30/98,,,,,,,,,,rocky meadow #4 - 1998,"grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa?? grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa?? grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??",,yes
willow-meadow interface #5 - 1997,"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)",5/18/97,,,,,,,,,,willow-meadow interface #5 - 1997,"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)",,yes
rocky meadow plot #5 - 1997,"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",5/18/97,,,,,,,,,,rocky meadow plot #5 - 1997,"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",,yes
rm71995-1,"grass, tight heads, west side",6/5/95,,,,,,,,,,rm71995-1,"grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side grass, tight heads, west side grass, tight heads, west side",,yes
rocky meadow plot #1 - 1997,"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",5/18/97,,,,,,,,,,rocky meadow plot #1 - 1997,"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",,yes
rm6-1983,Grass(dark colored spike),6/7/83,,,,,,,,,,rm6-1983,Grass(dark,colored,spike),Grass(dark colored spike),,
rm6-1983,Grass(light colored spike),6/7/83,,,,,,,,,,rm6-1983,Grass(light,colored,spike),Grass(light colored spike),,
VR2-1974,Hackelia floribunda,5/26/74,,,,,,,,,,vr2-1974,Hackelia,floribunda,,Hackelia floribunda ,,no
wm2-1980,Happlopappus  parryi,6/3/80,,,,,,,,,,wm2-1980,Happlopappus,parryi,,Happlopappus parryi ,,yes,Oreochrysum,parryi
SB7-1973,Hedysarum  occidentale,7/23/73,,,15,,,3,,,,sb7-1973,Hedysarum,occidentale,,Hedysarum occidentale ,,,,
RM4-1973,Helianthella  quinquenervis,6/6/73,,,,,,,,,,rm4-1973,Helianthella,quinquenervis,,Helianthella quinquenervis ,,no,,
greenhouse plot #1 - 1997,Heliomeris multiflora,6/3/97,,,,,,,,,,greenhouse plot #1 - 1997,Heliomeris,multiflora,,Heliomeris multiflora ,,no,,
willow-meadow interface #1 - 2005,Heuchera parviflora,5/21/05,,,,,,,,,,willow-meadow interface #1 - 2005,Heuchera,parviflora,,Heuchera parviflora ,,no,,
EM1-1974,Hydrophyllum fendleri,5/26/74,,,,,,,,,,em1-1974,Hydrophyllum,fendleri,,Hydrophyllum fendleri ,,no,,
RM1-1973,Hydrophyllum  capitatum,6/6/73,,,,,,,,,,rm1-1973,Hydrophyllum,capitatum,,Hydrophyllum capitatum ,,no,,
VR11977,Hydrophyllum??,6/5/77,,,,,,,,,,vr11977,Hydrophyllum??,,,Hydrophyllum??  ,,yes,Hydrophyllum,fendleri
RM1-1973,Ipomopsis  aggregata,6/6/73,,,,,,,,,,rm1-1973,Ipomopsis,aggregata,,Ipomopsis aggregata ,,no,,
rocky meadow #2 - 1999,Koelaria micrantha,5/21/99,,,,,,,,,,rocky meadow #2 - 1999,Koelaria,micrantha,,Koelaria micrantha ,,yes,Koeleria,macrantha
rocky meadow #4 - 2000,Koelaria macrantha,4/8/00,,,,,,,,,,rocky meadow #4 - 2000,Koelaria,macrantha,,Koelaria macrantha ,,yes,Koeleria,macrantha
Rocky Meadow #1 - updated September 2008_2006,"Koelaria macrantha - no obvious awn, inconspicuous anthers",4/28/06,,,,,,,,,,rocky meadow #1 - updated september 2008_2006,"Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers Koelaria macrantha - no obvious awn, inconspicuous anthers Koelaria macrantha - no obvious awn, inconspicuous anthers",,yes,Koeleria,macrantha
Rocky Meadow #2 - updated September 2008_2006,"Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot",4/28/06,,,,,,,,,,rocky meadow #2 - updated september 2008_2006,"Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot",,yes,Koeleria,macrantha
Rocky Meadow #6 - updated September 2008_2006,"Koelaria macrantha - no obvious awn, inconspicuous anthers, west side",4/28/06,,,,,,,,,,rocky meadow #6 - updated september 2008_2006,"Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side Koelaria macrantha - no obvious awn, inconspicuous anthers, west side Koelaria macrantha - no obvious awn, inconspicuous anthers, west side",,yes,Koeleria,macrantha
Rocky Meadow #3 - updated September 2008_2006,"Koelaria macrantha, southwest corner",4/28/06,,,,,,,,,,rocky meadow #3 - updated september 2008_2006,"Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner Koelaria macrantha, southwest corner Koelaria macrantha, southwest corner",,yes,Koeleria,macrantha
rocky meadow #1 - 2005,"Koelaria micrantha - no obvious awn, inconspicuous anthers",5/10/05,,,,,,,,,,rocky meadow #1 - 2005,"Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers Koelaria micrantha - no obvious awn, inconspicuous anthers Koelaria micrantha - no obvious awn, inconspicuous anthers",,yes,Koeleria,macrantha
rocky meadow #2 - 2003,"Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot",4/26/03,,,,,,,,,,rocky meadow #2 - 2003,"Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot",,yes,Koeleria,macrantha,
rocky meadow #6 - 2005,"Koelaria micrantha - no obvious awn, inconspicuous anthers, west side",5/10/05,,,,,,,,,,rocky meadow #6 - 2005,"Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side Koelaria micrantha - no obvious awn, inconspicuous anthers, west side Koelaria micrantha - no obvious awn, inconspicuous anthers, west side",,yes,Koeleria,macrantha,
rocky meadow #3 - 2005,"Koelaria micrantha, southwest corner",5/10/05,,,,,,,,,,rocky meadow #3 - 2005,"Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner Koelaria micrantha, southwest corner Koelaria micrantha, southwest corner",,yes,Koeleria,macrantha,
rocky meadow #1 - 2004,Koeleria micrantha ,4/2/04,,,,,,,,,,rocky meadow #1 - 2004,Koeleria,micrantha,,Koeleria micrantha ,,yes,Koeleria,macrantha,
Rocky Meadow #3 - 2009,Koeleria macrantha,5/9/09,,,,,,,,,,rocky meadow #3 - 2009,Koeleria,macrantha,,Koeleria macrantha ,,no,,,
RM1-1973,Lathyrus  leucanthus,6/6/73,,,,,,,,,,rm1-1973,Lathyrus,leucanthus,,Lathyrus leucanthus ,,no,,,
RM9-1973,Ligusticum  porteri,7/10/73,,,,5,,,,,,rm9-1973,Ligusticum,porteri,,Ligusticum porteri ,,no,,,
WM1-1974,Linum lewisii,5/26/74,,,,,,,,,,wm1-1974,Linum,lewisii,,Linum lewisii ,,no,,,
SB2-1973,Listera  borealis,6/20/73,,,,,,,,,,sb2-1973,Listera,borealis,,Listera borealis ,,,,,1973 plot
SB2-1973,Listera  cordata,6/20/73,,,,,,,,,,sb2-1973,Listera,cordata,,Listera cordata ,,,,,1973 plot
RM41976,Lithophragma  glabrum,6/5/76,,,,,,,,,,rm41976,Lithophragma,glabrum,,Lithophragma glabrum ,,no,,,
RM1-1973,Lomatium  dissectum,6/6/73,,,,,,,,,,rm1-1973,Lomatium,dissectum,,Lomatium dissectum ,,no,,,
SS2-1973,Lonicera  involucrata,6/7/73,,,,,,,,,,ss2-1973,Lonicera,involucrata,,Lonicera involucrata ,,no,,,
gp11988,Lychnis  apetala,5/25/88,,,,,,,,,,gp11988,Lychnis,apetala,,Lychnis apetala ,,no,,,
RM2-1973,Mahonia  repens,6/6/73,,,,,,,,,,rm2-1973,Mahonia,repens,,Mahonia repens ,,no,,,
Aspen Forest #8 - 2008,Maianthemum stellatum,6/2/08,,,,,,,,,,aspen forest #8 - 2008,Maianthemum,stellatum,,Maianthemum stellatum ,,no,,,
Rocky Meadow #7 - 2006,Medicago lupulina,4/27/06,,,,,,,,,,rocky meadow #7 - 2006,Medicago,lupulina,,Medicago lupulina ,,no,,
rm31992,Melandrium,5/14/92,,,,,,,,,,rm31992,Melandrium,,,Melandrium  ,,yes,Silene,antirrhina
em1-1980,Melica  spectabilis,6/3/80,,,,,,,,,,em1-1980,Melica,spectabilis,,Melica spectabilis ,,no,,
gp11991,Mertensia  fusiformis,5/30/91,,,buds,,,,,,,gp11991,Mertensia,fusiformis,,Mertensia fusiformis ,,no,,
RM8-1973,Mertensia  ciliata,7/10/73,,,2,,,1,,,,rm8-1973,Mertensia,ciliata,,Mertensia ciliata ,,no,,
w-m5-85,Mertensia,5/30/85,,,,,,,,,,w-m5-85,Mertensia,,,Mertensia  ,,yes,Mertensia,fusiformis
Stream (Calder) plot #1,Mimulus guttatus,6/10/04,,,,,,,,,,stream (calder) plot #1,Mimulus,guttatus,,Mimulus guttatus ,,no,,
VR11977,Minuartia??,6/5/77,,,,,,,,,,vr11977,Minuartia??,,,Minuartia??  ,,,,
wm21989,Mis-identified,5/13/89,,,,,,,,,,wm21989,Mis-identified,,,Mis-identified  ,,,,
SB2-1973,Mitella  pentandra,6/20/73,,,,,,,,,,sb2-1973,Mitella,pentandra,,Mitella pentandra ,,,,
Willow-Meadow Interface Plot #3 - 2009,Moehringia lateriflora,5/9/09,,,,,,,,,,willow-meadow interface plot #3 - 2009,Moehringia,lateriflora,,Moehringia lateriflora ,,no,,
Rocky Meadow #6 - updated September 2008_2006,Muhlenbergia montana (a C4 grass) ,4/28/06,,,,,,,,,,rocky meadow #6 - updated september 2008_2006,Muhlenbergia montana (a C4 grass) ,Muhlenbergia montana (a C4 grass) ,Muhlenbergia montana (a C4 grass) ,Muhlenbergia montana (a C4 grass)  Muhlenbergia montana (a C4 grass)  Muhlenbergia montana (a C4 grass) ,,yes,,
rocky meadow #6 - 2004,Muhlenbergia species (a C4 grass) ,4/2/04,,,,,,,,,,rocky meadow #6 - 2004,Muhlenbergia species (a C4 grass) ,Muhlenbergia species (a C4 grass) ,Muhlenbergia species (a C4 grass) ,Muhlenbergia species (a C4 grass)  Muhlenbergia species (a C4 grass)  Muhlenbergia species (a C4 grass) ,,yes,,
Erythronium Meadow #1 - 2007,Noccaea montana,4/28/07,,,,,,,,,,erythronium meadow #1 - 2007,Noccaea,montana,,Noccaea montana ,,no,,
gp11991,nodding brome,5/30/91,,,,,,,,,,gp11991,nodding,brome,,nodding brome ,,,,
RM7-1973,Orobanche  fasciculata,6/22/73,,,,,,,,,,rm7-1973,Orobanche,fasciculata,,Orobanche fasciculata ,,,,
rm71996,Orobanche uniflora,5/10/96,,,,,,,,,,rm71996,Orobanche,uniflora,,Orobanche uniflora ,,,,
WM2-1974,Orthocarpus luteus,5/26/74,,,,,,,,,,wm2-1974,Orthocarpus,luteus,,Orthocarpus luteus ,,,,
