"givenname","sp1","sp2","sp3","latbi"
"grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head grass - long awns, tight head grass - long awns, tight head"
"grass - Poa species #2?  NW corner","grass - Poa species #2?  NW corner","grass - Poa species #2?  NW corner","grass - Poa species #2?  NW corner","grass - Poa species #2?  NW corner grass - Poa species #2?  NW corner grass - Poa species #2?  NW corner"
"grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner grass - slightly spreading, yellow anthers, tall, NW corner grass - slightly spreading, yellow anthers, tall, NW corner"
"grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides"
"purple aster","purple","aster","","purple aster "
"grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall grass - long awns, all green, tall grass - long awns, all green, tall"
"Bromus  upright","Bromus","upright","","Bromus upright "
"grass - long awns, tall","grass - long awns, tall","grass - long awns, tall","grass - long awns, tall","grass - long awns, tall grass - long awns, tall grass - long awns, tall"
"grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike grass, long awns, tight spike grass, long awns, tight spike"
"Carex species  not geyeri or simulata?","Carex species  not geyeri or simulata?","Carex species  not geyeri or simulata?","Carex species  not geyeri or simulata?","Carex species  not geyeri or simulata? Carex species  not geyeri or simulata? Carex species  not geyeri or simulata?"
"grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side grass - tall bunch grass, E side grass - tall bunch grass, E side"
"Elymus  ""wheat grass""","Elymus","""wheat","grass""","Elymus ""wheat grass"""
"grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?) grass - tall bunch grass, N side (Poa?) grass - tall bunch grass, N side (Poa?)"
"grass - short, tight heads","grass - short, tight heads","grass - short, tight heads","grass - short, tight heads","grass - short, tight heads grass - short, tight heads grass - short, tight heads"
"Senecio  tall species","Senecio","tall","species","Senecio tall species"
"Toal flowers","Toal","flowers","","Toal flowers "
"grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner grass - bunchgrass, NE corner grass - bunchgrass, NE corner"
"grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers grass - heavy heads, drooping some, large flowers grass - heavy heads, drooping some, large flowers"
"Elymus (""wheat grass"")","Elymus","(""wheat","grass"")","Elymus (""wheat grass"")"
"Lupinus  not amplus - small flowers, darker leaves, smaller plant","Lupinus  not amplus - small flowers, darker leaves, smaller plant","Lupinus  not amplus - small flowers, darker leaves, smaller plant","Lupinus  not amplus - small flowers, darker leaves, smaller plant","Lupinus  not amplus - small flowers, darker leaves, smaller plant Lupinus  not amplus - small flowers, darker leaves, smaller plant Lupinus  not amplus - small flowers, darker leaves, smaller plant"
"grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot grass, medium awns, tight spike  S end of plot grass, medium awns, tight spike  S end of plot"
"grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner grass - tall bunch grass, NE corner grass - tall bunch grass, NE corner"
"Aster  foliaceus","Aster","foliaceus","","Aster foliaceus "
"grass - pearl grass?  NE corner","grass - pearl grass?  NE corner","grass - pearl grass?  NE corner","grass - pearl grass?  NE corner","grass - pearl grass?  NE corner grass - pearl grass?  NE corner grass - pearl grass?  NE corner"
"Poa species #2 - bigger glumes","Poa species #2 - bigger glumes","Poa species #2 - bigger glumes","Poa species #2 - bigger glumes","Poa species #2 - bigger glumes Poa species #2 - bigger glumes Poa species #2 - bigger glumes"
"grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot grass - long tight heads, middle of plot grass - long tight heads, middle of plot"
"Carex  same species as RM9","Carex  same species as RM9","Carex  same species as RM9","Carex  same species as RM9","Carex  same species as RM9 Carex  same species as RM9 Carex  same species as RM9"
"grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust grass - short tight heads, robust grass - short tight heads, robust"
"Epilobium  annual species","Epilobium","annual","species","Epilobium annual species"
"grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes grass - short tight heads, like an unexpanded Poa, small glumes grass - short tight heads, like an unexpanded Poa, small glumes"
"grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes"
"grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle grass - robust, short, compact, East of rock in middle grass - robust, short, compact, East of rock in middle"
"grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner grass - slightly spreading, reddish  like grass in plot #4, in NE corner grass - slightly spreading, reddish  like grass in plot #4, in NE corner"
"grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle grass - tight head, smaller glumes than reddish grass; N side and middle grass - tight head, smaller glumes than reddish grass; N side and middle"
"grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side grass, tight heads, west side grass, tight heads, west side"
"Trifolium  hybridum","Trifolium","hybridum","","Trifolium hybridum "
"Bromus - nodding brome","Bromus - nodding brome","Bromus - nodding brome","Bromus - nodding brome","Bromus - nodding brome Bromus - nodding brome Bromus - nodding brome"
"Chenopodium  album","Chenopodium","album","","Chenopodium album "
"Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"")","Agropyron trachycaulus (""wheat grass"") Agropyron trachycaulus (""wheat grass"") Agropyron trachycaulus (""wheat grass"")"
"Bromopsis ceratochloa carinatus?","Bromopsis","ceratochloa","carinatus?","Bromopsis ceratochloa carinatus?"
"Ceratochloa carinata (nodding brome)","Ceratochloa carinata (nodding brome)","Ceratochloa carinata (nodding brome)","Ceratochloa carinata (nodding brome)","Ceratochloa carinata (nodding brome) Ceratochloa carinata (nodding brome) Ceratochloa carinata (nodding brome)"
"Stipa nelsoni?  long awns","Stipa nelsoni?  long awns","Stipa nelsoni?  long awns","Stipa nelsoni?  long awns","Stipa nelsoni?  long awns Stipa nelsoni?  long awns Stipa nelsoni?  long awns"
"Agropyron","Agropyron","","","Agropyron  "
"Gentianopis calycosa","Gentianopis","calycosa","","Gentianopis calycosa "
"grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner grass - long tight head, medium-long awns, SE corner grass - long tight head, medium-long awns, SE corner"
"Ceratochloa carinata","Ceratochloa","carinata","","Ceratochloa carinata "
"grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade grass - spike, long awns, 1/3 down leaf blade grass - spike, long awns, 1/3 down leaf blade"
"Festuca?","Festuca?","","","Festuca?  "
"Elymus elymoides","Elymus","elymoides","","Elymus elymoides "
"Poa pratensis","Poa","pratensis","","Poa pratensis "
"Orobanche uniflora","Orobanche","uniflora","","Orobanche uniflora "
"Chenopodium","Chenopodium","","","Chenopodium  "
"Descurainea richardsoni","Descurainea","richardsoni","","Descurainea richardsoni "
"Lupinus argenteus","Lupinus","argenteus","","Lupinus argenteus "
"Pyrrocoma (Haplopappus) crocea","Pyrrocoma","(Haplopappus)","crocea","Pyrrocoma (Haplopappus) crocea"
"Salix brachycarpa (monticola?)","Salix","brachycarpa","(monticola?)","Salix brachycarpa (monticola?)"
"Ceratochloa carinatus","Ceratochloa","carinatus","","Ceratochloa carinatus "
"Phleum commutatum","Phleum","commutatum","","Phleum commutatum "
"Stipa nelsonii?","Stipa","nelsonii?","","Stipa nelsonii? "
"Stipa nelsoni (grass with long awns)","Stipa nelsoni (grass with long awns)","Stipa nelsoni (grass with long awns)","Stipa nelsoni (grass with long awns)","Stipa nelsoni (grass with long awns) Stipa nelsoni (grass with long awns) Stipa nelsoni (grass with long awns)"
"Agropyron trachycaulus","Agropyron","trachycaulus","","Agropyron trachycaulus "
"Delpinium barbeyi","Delpinium","barbeyi","","Delpinium barbeyi "
"Dugaldia (Helenium) hoopsii","Dugaldia","(Helenium)","hoopsii","Dugaldia (Helenium) hoopsii"
"Veratrum tenuipetalum","Veratrum","tenuipetalum","","Veratrum tenuipetalum "
"Fragaria virginiana","Fragaria","virginiana","","Fragaria virginiana "
"Helianthella quinquenervis.1","Helianthella","quinquenervis.1","","Helianthella quinquenervis.1 "
"Heliomeris multiflora","Heliomeris","multiflora","","Heliomeris multiflora "
"Ligularia (Senecio) bigelovii","Ligularia","(Senecio)","bigelovii","Ligularia (Senecio) bigelovii"
"Oreochrysum (Haplopappus) parryi","Oreochrysum","(Haplopappus)","parryi","Oreochrysum (Haplopappus) parryi"
"Polygonum aviculare (Weber's engelmanii?)","Polygonum aviculare (Weber's engelmanii?)","Polygonum aviculare (Weber's engelmanii?)","Polygonum aviculare (Weber's engelmanii?)","Polygonum aviculare (Weber's engelmanii?) Polygonum aviculare (Weber's engelmanii?) Polygonum aviculare (Weber's engelmanii?)"
"Taraxacum","Taraxacum","","","Taraxacum  "
"unknown #1","unknown","#1","","unknown #1 "
"Viola","Viola","","","Viola  "
"Gastrolychnis drummondii (maybe Silene antirrhina?)","Gastrolychnis drummondii (maybe Silene antirrhina?)","Gastrolychnis drummondii (maybe Silene antirrhina?)","Gastrolychnis drummondii (maybe Silene antirrhina?)","Gastrolychnis drummondii (maybe Silene antirrhina?) Gastrolychnis drummondii (maybe Silene antirrhina?) Gastrolychnis drummondii (maybe Silene antirrhina?)"
"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence"
"Heterotheca (Chrysopsis) villosa","Heterotheca","(Chrysopsis)","villosa","Heterotheca (Chrysopsis) villosa"
"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)"
"Ligusticum poteri","Ligusticum","poteri","","Ligusticum poteri "
"Epilobium brachycarpum","Epilobium","brachycarpum","","Epilobium brachycarpum "
"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence"
"Senecio integerrimus","Senecio","integerrimus","","Senecio integerrimus "
"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath"
"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes"
"Galium septentrionale","Galium","septentrionale","","Galium septentrionale "
"Anticlea (Zygadenus) elegans","Anticlea","(Zygadenus)","elegans","Anticlea (Zygadenus) elegans"
"Descurainea richarsoni","Descurainea","richarsoni","","Descurainea richarsoni "
"Heliomeris (Viguiera) multiflora","Heliomeris","(Viguiera)","multiflora","Heliomeris (Viguiera) multiflora"
"Thaspi montanum","Thaspi","montanum","","Thaspi montanum "
"Agropyron trachycaulus.1","Agropyron","trachycaulus.1","","Agropyron trachycaulus.1 "
"Poa - very short stalks","Poa - very short stalks","Poa - very short stalks","Poa - very short stalks","Poa - very short stalks Poa - very short stalks Poa - very short stalks"
"Salix species","Salix","species","","Salix species "
"Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers Poa species? 3 feet tall, small flowers Poa species? 3 feet tall, small flowers"
"Thlaspi montanum (Noccaea montana)","Thlaspi montanum (Noccaea montana)","Thlaspi montanum (Noccaea montana)","Thlaspi montanum (Noccaea montana)","Thlaspi montanum (Noccaea montana) Thlaspi montanum (Noccaea montana) Thlaspi montanum (Noccaea montana)"
"grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust"
"Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out Poa?  Fat flowers, inflorescence very spread out Poa?  Fat flowers, inflorescence very spread out"
"grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns"
"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)"
"Cirsium scopulorum","Cirsium","scopulorum","","Cirsium scopulorum "
"grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa?? grass - W side, giant Poa?? grass - W side, giant Poa??"
"Lupinus prunophyllus","Lupinus","prunophyllus","","Lupinus prunophyllus "
"grass - pearl grass?","grass - pearl grass?","grass - pearl grass?","grass - pearl grass?","grass - pearl grass? grass - pearl grass? grass - pearl grass?"
"Agropyron trachycaulus (wheat grass)","Agropyron trachycaulus (wheat grass)","Agropyron trachycaulus (wheat grass)","Agropyron trachycaulus (wheat grass)","Agropyron trachycaulus (wheat grass) Agropyron trachycaulus (wheat grass) Agropyron trachycaulus (wheat grass)"
"Bromopsis ceratochloa carinatus","Bromopsis","ceratochloa","carinatus","Bromopsis ceratochloa carinatus"
"Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"") Elymus elymoides (""squirrel tail grass"") Elymus elymoides (""squirrel tail grass"")"
"grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns"
"Agropyron trachycaulis","Agropyron","trachycaulis","","Agropyron trachycaulis "
"grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side"
"Campanula rotunifolia","Campanula","rotunifolia","","Campanula rotunifolia "
"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes"
"Rosa woodsi","Rosa","woodsi","","Rosa woodsi "
"grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers","grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers grass, leaf blade below inflorescence about 6"" long, almost as long as inflorescence, tighter inflorescence than Poa, big yellow anthers"
"grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns.","grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns. grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns. grass - SW corner, pale green, with yellow anthers, short branches but spreading.  No awns."
"grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??","grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa?? grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa?? grass, NW corner and N side, big yellow anthers, blade not longer than inflorescence; big headed Poa??"
"Elymus elymoides (squrrel tail grass)","Elymus elymoides (squrrel tail grass)","Elymus elymoides (squrrel tail grass)","Elymus elymoides (squrrel tail grass)","Elymus elymoides (squrrel tail grass) Elymus elymoides (squrrel tail grass) Elymus elymoides (squrrel tail grass)"
"Potentilla fruticosa (plant just outside plot to NW)","Potentilla fruticosa (plant just outside plot to NW)","Potentilla fruticosa (plant just outside plot to NW)","Potentilla fruticosa (plant just outside plot to NW)","Potentilla fruticosa (plant just outside plot to NW) Potentilla fruticosa (plant just outside plot to NW) Potentilla fruticosa (plant just outside plot to NW)"
"grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner grass - lots of tiny yellow anthers, tight head, SE corner grass - lots of tiny yellow anthers, tight head, SE corner"
"grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side","grass - tight long spike with lots of small white anthers, medium awns, N side grass - tight long spike with lots of small white anthers, medium awns, N side grass - tight long spike with lots of small white anthers, medium awns, N side"
"Bromopsis ceratochloa carinatus? (nodding brome)","Bromopsis ceratochloa carinatus? (nodding brome)","Bromopsis ceratochloa carinatus? (nodding brome)","Bromopsis ceratochloa carinatus? (nodding brome)","Bromopsis ceratochloa carinatus? (nodding brome) Bromopsis ceratochloa carinatus? (nodding brome) Bromopsis ceratochloa carinatus? (nodding brome)"
"grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner grass - giant Poa?? Big yellow anthers, NW corner grass - giant Poa?? Big yellow anthers, NW corner"
"Bromopsis ceratochlora carinatus?","Bromopsis","ceratochlora","carinatus?","Bromopsis ceratochlora carinatus?"
"Lathyrus leucanthus.1","Lathyrus","leucanthus.1","","Lathyrus leucanthus.1 "
"Salix monticola","Salix","monticola","","Salix monticola "
"Salix brachycarpa","Salix","brachycarpa","","Salix brachycarpa "
"Poa arctica","Poa","arctica","","Poa arctica "
"Salix geyeriana ","Salix","geyeriana","","Salix geyeriana "
"Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers Arabis drummondii (?) - small, yellowish flowers Arabis drummondii (?) - small, yellowish flowers"
"grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot","grass - tight long spike with lots of small white anthers, medium awns, middle of plot grass - tight long spike with lots of small white anthers, medium awns, middle of plot grass - tight long spike with lots of small white anthers, medium awns, middle of plot"
"Agropyron spp","Agropyron","spp","","Agropyron spp "
"Bromopsis spp","Bromopsis","spp","","Bromopsis spp "
"Poa spp","Poa","spp","","Poa spp "
"Thlaspi","Thlaspi","","","Thlaspi  "
"grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa??","grass - W site, giant Poa?? grass - W site, giant Poa?? grass - W site, giant Poa??"
"Haplopappus parryi (Kathy originally identified as Solidago spathulata)","Haplopappus parryi (Kathy originally identified as Solidago spathulata)","Haplopappus parryi (Kathy originally identified as Solidago spathulata)","Haplopappus parryi (Kathy originally identified as Solidago spathulata)","Haplopappus parryi (Kathy originally identified as Solidago spathulata) Haplopappus parryi (Kathy originally identified as Solidago spathulata) Haplopappus parryi (Kathy originally identified as Solidago spathulata)"
"Geranium viscossisimum","Geranium","viscossisimum","","Geranium viscossisimum "
"Bromopsis spp.","Bromopsis","spp.","","Bromopsis spp. "
"Elymus spp","Elymus","spp","","Elymus spp "
"Carex spp","Carex","spp","","Carex spp "
"Dugaldia hoopsii","Dugaldia","hoopsii","","Dugaldia hoopsii "
"Ranunculus inaomus","Ranunculus","inaomus","","Ranunculus inaomus "
"Koelaria micrantha","Koelaria","micrantha","","Koelaria micrantha "
"Elymus spp.","Elymus","spp.","","Elymus spp. "
"Aquilegia coerulea","Aquilegia","coerulea","","Aquilegia coerulea "
"awn grass","awn","grass","","awn grass "
"tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner tight spike, 5-mm awns, NW corner tight spike, 5-mm awns, NW corner"
"Cirsium spp","Cirsium","spp","","Cirsium spp "
"Helianthella quinquinervis","Helianthella","quinquinervis","","Helianthella quinquinervis "
"Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple) Bromopsis spp. (hairy, purple) Bromopsis spp. (hairy, purple)"
"Carex #2","Carex","#2","","Carex #2 "
"Haplopappus parryi (Kathy originally called it Solidago spathulata) ","Haplopappus parryi (Kathy originally called it Solidago spathulata) ","Haplopappus parryi (Kathy originally called it Solidago spathulata) ","Haplopappus parryi (Kathy originally called it Solidago spathulata) ","Haplopappus parryi (Kathy originally called it Solidago spathulata)  Haplopappus parryi (Kathy originally called it Solidago spathulata)  Haplopappus parryi (Kathy originally called it Solidago spathulata) "
"Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple) Bromopsis spp. (fuzzy, purple) Bromopsis spp. (fuzzy, purple)"
